smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
COc1cc2c(cc1OC)C(C1CCCC1)N(S(N)(=O)=O)CC2,340.45,1.997,1,4,True,infection
CCCCC1c2cc(OC)c(OC)cc2CCN1S(N)(=O)=O,328.43,1.997,1,4,True,infection
COc1cc2c(cc1OC)C(C1CC1)N(S(N)(=O)=O)CC2,312.39,1.216,1,4,True,infection
COc1cc2c(cc1OC)C(C(C)C)N(S(N)(=O)=O)CC2,314.41,1.462,1,4,True,infection
CCCC1c2cc(OC)c(OC)cc2CCN1S(N)(=O)=O,314.41,1.607,1,4,True,infection
CCC1c2cc(OC)c(OC)cc2CCN1S(N)(=O)=O,300.38,1.216,1,4,True,infection
COc1cc2c(cc1OC)C(C)N(S(N)(=O)=O)CC2,286.35,0.826,1,4,True,infection
COc1cc2c(cc1OC)CN(S(N)(=O)=O)CC2,272.33,0.265,1,4,True,infection
NS(=O)(=O)N1CCc2ccccc2C1,212.27,0.248,1,2,True,infection
O=S(=O)([O-])OOS(=O)(=O)[O-].[Na+].[Na+],238.11,-8.137,0,8,True,infection
N#C[Se-].[Na+],127.97,-3.36,0,1,True,infection
O=S(=O)([O-])NS(=O)(=O)[O-].[Na+].[Na+],221.12,-8.496,1,6,True,infection
O=BOB([O-])OB([O-])OB=O.[Na+].[Na+],201.22,-10.336,0,7,True,infection
O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],265.9,-15.324,0,7,True,infection
O=S(=O)([O-])OS(=O)(=O)[O-].[Na+].[Na+],222.11,-8.069,0,7,True,infection
O=[Te](=O)([O-])[O-].[Na+].[Na+],237.58,-8.988,0,4,True,infection
O=[Se](=O)([O-])[O-].[Na+].[Na+],188.94,-8.988,0,4,True,infection
O=S(=O)([O-])F.[Na+],122.05,-3.58,0,3,True,infection
S=C([S-])[S-].[Na+].[Na+],154.19,-5.627,0,3,True,infection
CCN(CC)C(=S)[S-].[Na+],171.27,-1.836,0,2,True,infection
NS(=O)(=O)NO,112.11,-1.831,3,3,True,infection
CC1(C)OB(c2ccc(NS(N)(=O)=O)cc2)OC1(C)C,298.17,0.601,2,4,True,infection
NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,385.85,2.269,3,4,True,infection
CCOc1ccncc1S(N)(=O)=O,202.23,0.128,1,4,True,infection
NS(=O)(=O)c1cnccc1Oc1cccc2cccnc12,301.33,2.069,1,5,True,infection
Cc1ccc2cccc(Oc3ccncc3S(N)(=O)=O)c2n1,315.35,2.378,1,5,True,infection
